"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AL1","AY1","AY2","GA1","GA2","GA3","GA4","GF1","GJ1","IA1","IA2","KA1","KA2","MA1","MD1","MW1","REM","EQD"
"07156099999","2003-04-01T11:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","240,1,N,0051,1","07500,1,9,N","020000,1,N,1","+0164,1","+0041,1","10183,1","06,0000,9,1",,,,,,"07,1,+07500,9,00,9",,,,"07,99,1,00,1,00,1,99999,9,00,1,02,1",,,,,,"99999,9,10091,1","8,1,022,1,+999,9",,"SYN076AAXX  01114 07156 32970 72410 10164 20041 30091 40183 58022 80002 333 87075;","Q01  00002PRCP06"
"07156099999","2003-04-01T13:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","260,1,N,0051,1","99999,9,9,N","999999,9,N,1","+0174,1","+0040,1","10164,1","06,0000,9,1",,,,,,,,,,,,,,,,"99999,9,10073,1","6,1,033,1,+999,9",,"SYN060AAXX  01134 07156 36/// /2610 10174 20040 30073 40164 56033;","Q01  00002PRCP06"
"07156099999","2003-04-01T14:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","260,1,N,0062,1","03300,1,9,N","020000,1,N,1","+0169,1","+0052,1","10158,1","06,0000,9,1",,,,,,"05,1,+03300,9,04,9",,,,"07,99,1,05,1,00,1,99999,9,01,1,01,1",,,,,,"99999,9,10067,1","7,1,024,1,+999,9",,"SYN082AAXX  01144 07156 32970 72612 10169 20052 30067 40158 57024 85011 333 85461 87071;","Q01  00002PRCP06"
"07156099999","2003-04-01T16:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","270,1,N,0041,1","99999,9,9,N","999999,9,N,1","+0157,1","+0044,1","10142,1","06,0000,9,1",,,,,,,,,,,,,,,,"99999,9,10050,1","8,1,023,1,+999,9",,"SYN060AAXX  01164 07156 36/// /2708 10157 20044 30050 40142 58023;","Q01  00002PRCP06"
"07156099999","2003-04-01T17:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","260,1,N,0072,1","99999,9,9,N","999999,9,N,1","+0148,1","+0036,1","10133,1","06,0000,9,1",,,,,,,,,,,,,,,,"99999,9,10041,1","8,1,026,1,+999,9",,"SYN060AAXX  01174 07156 36/// /2614 10148 20036 30041 40133 58026;","Q01  00002PRCP06"
"07156099999","2003-04-01T19:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","270,1,N,0062,1","99999,9,9,N","999999,9,N,1","+0126,1","+0071,1","10121,1","06,0000,9,1",,,,,,,,,,,,,,,,"99999,9,10029,1","6,1,021,1,+999,9",,"SYN060AAXX  01194 07156 36/// /2712 10126 20071 30029 40121 56021;","Q01  00002PRCP06"
"07156099999","2003-04-01T20:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","270,1,N,0051,1","99999,9,9,N","999999,9,N,1","+0122,1","+0067,1","10111,1",,,,,,,,,,,,,,,,,"99999,9,10019,1","8,1,022,1,+999,9",,"SYN070AAXX  01204 07156 26/// /2710 10122 20067 30019 40111 58022 333 69925;",
"07156099999","2003-04-01T22:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","290,1,N,0062,1","99999,9,9,N","999999,9,N,1","+0100,1","+0065,1","10114,1",,,,,,,,,,,,,,,,,"99999,9,10021,1","6,1,008,1,+999,9",,"SYN070AAXX  01224 07156 26/// /2912 10100 20065 30021 40114 56008 333 69925;",
"07156099999","2003-04-01T23:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","290,1,N,0051,1","99999,9,9,N","999999,9,N,1","+0098,1","+0056,1","10110,1","06,0000,9,1",,,,,,,,,,,,,,,,"99999,9,10017,1","8,1,002,1,+999,9",,"SYN060AAXX  01234 07156 36/// /2910 10098 20056 30017 40110 58002;","Q01  00002PRCP06"
"07156099999","2003-04-02T01:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","310,1,N,0041,1","99999,9,9,N","999999,9,N,1","+0089,1","+0056,1","10102,1",,,,,,,,,,,,,,,,,"99999,9,10009,1","6,1,012,1,+999,9",,"SYN070AAXX  02014 07156 26/// /3108 10089 20056 30009 40102 56012 333 69925;",
